rank,name,number_students,student_staff_ratio,intl_students,female_male_ratio,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,address,street_address,locality_address,region_address,postcode_address,country_address
12,Yale University,11751,4.4,20,50,87.4,86.5,87.8,97.2,43.3,64.3,"New Haven, Connecticut, 06520, United States",,,,,United States
13,"University of California, Berkeley",36186,16.4,15,50,87.2,80.4,91.1,99.7,47.9,61.9,"110 Sproul Hall, Berkeley, California, 94704, United States",,,,,United States
14,UCL,26605,10.7,46,56,87.1,78.1,91,94.2,40.5,94.4,"Gower Street, London, WC1E 6BT, United Kingdom",,,,,United Kingdom
15,Columbia University,25055,5.9,28,,86.1,85.9,82.2,98.1,-,73.5,"116th and Broadway, New York, 10027, United States",,,,,United States
16,"University of California, Los Angeles",38206,10.3,15,52,85.8,80.8,88.6,98.5,47.9,56.4,"405 Hilgard Ave, Los Angeles, California, 90095, United States",,,,,United States
17,University of Pennsylvania,20376,6.5,20,51,85.2,82,86.9,98.6,47.9,49.5,"3451 Walnut Street, Philadelphia, Philadelphia, Pennsylvania, 19104, United States",,,,,United States
18,Cornell University,21424,10.2,19,48,84,77.9,86.1,97.2,33.7,63.9,"Day Hall Lobby, Ithaca, New York, 14853, United States",,,,,United States
19,University of Toronto,66198,19.5,15,,83.9,75.9,89.3,90.9,49.1,77.8,"27 King's College Circle, Toronto, Ontario, M5S 1A1, Canada",,,,,Canada
20,Duke University,15172,4.8,17,49,82.7,76,78,99,100,56.5,"Durham, North Carolina, 27708, United States",,,,,United States
21,University of Michigan-Ann Arbor,41786,9.0,16,48,82.4,76.8,85.2,94.4,56.3,53.7,"500 S. State Street, Ann Arbor, Michigan, 48109, United States",,,,,United States
22,Carnegie Mellon University,11885,13.1,35,39,82.3,67.4,88.8,99.1,57.5,57.1,"5000 Forbes Ave, Pittsburgh, Pennsylvania, 15213, United States",,,,,United States
23,London School of Economics and Political Science,9235,12.1,70,53,81.3,69.8,80.6,94.3,32.2,93.6,"Houghton Street, London, WC2A 2AE, United Kingdom",,,,,United Kingdom
24,University of Edinburgh,25775,14.1,36,58,80.3,68.6,77.2,96.3,36.1,89.8,"Old College, South Bridge, Edinburgh, EH8 9YL, United Kingdom",,,,,United Kingdom
25,Northwestern University,18334,13.8,15,48,79.5,69.8,78.4,96.5,81.2,53.9,"633 Clark Street, Evanston, Illinois, 60208, United States",,,,,United States
26,National University of Singapore,31592,15.5,34,49,79.2,71.7,84.5,79.4,49.8,96.2,"21 Lower Kent Ridge Road, 119077, Singapore",,,,,Singapore
27,King’s College London,21395,11.4,37,61,78.2,64.5,75.8,93.8,40.1,93.8,"Strand, London, WC2R 2LS, United Kingdom",,,,,United Kingdom
28,Karolinska Institute,7774,11.5,22,70,77.5,60.6,81.1,92.2,75.8,73.1,"SE-171 77, Stockholm, Sweden",,,,,Sweden
29,LMU Munich,35691,15.5,13,62,77.3,70.5,77.4,85.7,100,62.8,"Geschwister-Scholl-Platz 1, Munich, 80539, Germany",,,,,Germany
30,New York University,42056,6.8,19,55,77.2,74.7,72.3,95.3,30.4,49.3,"70 Washington Square South, New York, 10012, United States",,,,,United States
31,École Polytechnique Fédérale de Lausanne,9666,10.5,54,27,76.1,61.3,67.5,94.6,65.4,98.6,"Route Cantonale, Lausanne, 1015, Switzerland",,,,,Switzerland
32,University of Washington,44020,11.8,13,53,75.6,67.1,70,98.6,43.1,51.2,"1410 NE Campus Parkway, Seattle, Washington, 98195-5852, United States",,,,,United States
33,University of Melbourne,40128,23.7,35,55,75.4,62,75.5,86.6,64.6,87.1,"Grattan Street, Parkville, Victoria, VIC 3010, Australia",,,,,Australia
34,University of British Columbia,50152,17.6,25,54,75.3,60.2,73.2,91.5,42.6,90.5,"2900-2424 Main Mall, Vancouver, British Columbia, V6T 1Z4, Canada",,,,,Canada
35,KU Leuven,42503,41.9,18,54,74.8,59.9,76.9,87.3,100,68.6,"Oude Markt 13, Leuven, 3000, Belgium",,,,,Belgium
36,University of Illinois at Urbana-Champaign,42727,18.7,20,47,74.5,64.5,81.2,86.8,52.8,45.8,"901 West Illinois Street, Urbana, Illinois, 61801, United States",,,,,United States
37,Universität Heidelberg,28881,24.5,17,55,74.4,68.8,69.6,88.2,68.2,62.8,"Grabengasse 1, Heidelberg, 69117, Germany",,,,,Germany
38,McGill University,31326,13.7,23,56,72.6,66.1,72.1,78.9,40.3,85.5,"845 Sherbrooke Street West, Montreal, Quebec, H3A 0G4, Canada",,,,,Canada
 =39,"University of California, San Diego",27233,6.5,11,48,72.2,56.9,69.8,98.7,56.7,42.9,"9500 Gilman Dr, La Jolla, California, 92093, United States",,,,,United States
 =39,"University of California, Santa Barbara",22020,27.3,11,52,72.2,52.6,66,99.2,90.4,61.5,"Santa Barbara, 552 University Road, California, 93106, United States",,,,,United States
41,Georgia Institute of Technology,19967,20.1,26,31,72.1,57.8,72.7,86,73.7,71.5,"North Avenue, Atlanta, Georgia, 30332, United States",,,,,United States
42,Peking University,40148,8.3,14,,72,77.8,72.4,69.1,100,49.2,"No.5 Yiheyuan Road, Haidian District, Beijing, 100871, China",,,,,China
43,The University of Tokyo,26199,5.7,10,,71.1,81.4,83,60.9,50.8,30.3,"7-3-1 Hongo, Bunkyo, Tokyo, 113-8654, Japan",,,,,Japan
 =44,"University of California, Davis",35364,13.9,13,54,71,60.1,72.7,84.3,57.3,58.4,"1 Shields Avenue, California, 95616, United States",,,,,United States
 =44,University of Hong Kong,19835,17.6,38,53,71,64.6,72.8,70.1,53.7,99.5,"9/F, Knowles Building Pok Fu Lam Road, Pokfulam, Hong Kong Island, Hong Kong",,,,,Hong Kong
46,University of Texas at Austin,49427,17.4,9,51,70.3,59.3,69.7,92.2,63.1,31.7,"110 Inner Campus Drive, Austin, Texas, 78705, United States",,,,,United States
 =47,Tsinghua University,39763,13.7,10,32,70,73.3,83,58.8,100,39.5,"1 Qinqhuayuan, Beijing, 100084, China",,,,,China
 =47,Wageningen University & Research,9248,17.0,21,56,70,52.6,66.9,87.8,100,70.3,"Droevendaalsesteeg 4, Building nr. 104, Wageningen, 6702 PB, Netherlands",,,,,Netherlands
